Unnamed: 0,OrigCode,DestCode,Origin,Destination,Trips,Dist,Persons 2011_x,OriPop19,DestEmp19,Ourban,Durban,Inc19_x,region,Inc19_y,lon-origin,lat-origin,lon-dist,lat-dist
37,30104.0,30103.0,St. Hanshaugen Oslo,Sagene Oslo,11780,1757.772627457885,26137,29966,19408.0,2.8,2.34,430000,30103,461000,10.738958251649304,59.9279499,10.765848812662396,59.93827295
38,30105.0,30103.0,Frogner Oslo,Sagene Oslo,10579,5290.364324910145,37858,42741,19408.0,5.35,2.34,464000,30103,461000,10.7066491,59.9222241,10.765848812662396,59.93827295
39,30106.0,30103.0,Ullern Oslo,Sagene Oslo,3964,5845.2628769707735,18359,19164,19408.0,7.1,2.34,648000,30103,461000,10.665131833047553,59.9258182,10.765848812662396,59.93827295
40,30107.0,30103.0,Vestre Aker Oslo,Sagene Oslo,4656,5614.37114950775,26115,27837,19408.0,11.55,2.34,688000,30103,461000,10.6703187408315,59.95830005,10.765848812662396,59.93827295
41,30108.0,30103.0,Nordre Aker Oslo,Sagene Oslo,13792,1847.9199063811584,29692,31804,19408.0,10.5,2.34,578000,30103,461000,10.756412356654582,59.95363815,10.765848812662396,59.93827295
42,30109.0,30103.0,Bjerke Oslo,Sagene Oslo,4685,3299.5815639882235,17453,20501,19408.0,5.85,2.34,490000,30103,461000,10.829208453029786,59.941394700000004,10.765848812662396,59.93827295
43,30110.0,30103.0,Grorud Oslo,Sagene Oslo,2352,7120.518507927994,15957,17273,19408.0,4.37,2.34,453000,30103,461000,10.8805488,59.9614243,10.765848812662396,59.93827295
44,30111.0,30103.0,Stovner Oslo,Sagene Oslo,1803,9019.619434569107,17580,19116,19408.0,5.04,2.34,489000,30103,461000,10.9228232,59.9621403,10.765848812662396,59.93827295
45,30112.0,30103.0,Alna Oslo,Sagene Oslo,5271,5721.43347228219,29231,30341,19408.0,9.23,2.34,477000,30103,461000,10.8352756,59.9324168,10.765848812662396,59.93827295
46,30113.0,30103.0,Østensjø Oslo,Sagene Oslo,3809,6535.7677510270105,27005,30474,19408.0,7.66,2.34,539000,30103,461000,10.83274792453087,59.8875633,10.765848812662396,59.93827295
47,30114.0,30103.0,Nordstrand Oslo,Sagene Oslo,3643,7591.027461879707,27713,30471,19408.0,11.83,2.34,607000,30103,461000,10.7861425,59.8645605,10.765848812662396,59.93827295
48,30115.0,30103.0,Søndre Nordstrand Oslo,Sagene Oslo,1863,12046.205107875505,21953,23438,19408.0,6.16,2.34,539000,30103,461000,10.798495515727911,59.83594385,10.765848812662396,59.93827295
49,30116.0,30103.0,Sentrum Oslo,Sagene Oslo,5475,3507.511950398989,825,1264,19408.0,1.4,2.34,335000,30103,461000,10.7531379,59.9110251,10.765848812662396,59.93827295
50,30117.0,30103.0,Marka Oslo,Sagene Oslo,616,8934.335989167954,1014,1035,19408.0,5.699999999999999,2.34,625000,30103,461000,10.671005191490298,60.040261650000005,10.765848812662396,59.93827295
51,30101.0,30104.0,Gamle Oslo,St. Hanshaugen Oslo,12592,3558.663471974345,32642,41736,54104.0,4.75,2.8,453000,30104,430000,10.73476733965368,59.8992367,10.738958251649304,59.9279499
