,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
97,30106.0,30113.0,Ullern Oslo,Østensjø Oslo,3048.0,3048.0
98,30106.0,30114.0,Ullern Oslo,Nordstrand Oslo,3539.0,3539.0
99,30106.0,30115.0,Ullern Oslo,Søndre Nordstrand Oslo,1803.0,1803.0
100,30106.0,30116.0,Ullern Oslo,Sentrum Oslo,3998.0,3998.0
101,30106.0,30117.0,Ullern Oslo,Marka Oslo,508.0,508.0
102,30107.0,30101.0,Vestre Aker Oslo,Gamle Oslo,6307.0,5119.1
103,30107.0,30102.0,Vestre Aker Oslo,Grünerløkka Oslo,6253.0,6253.0
104,30107.0,30103.0,Vestre Aker Oslo,Sagene Oslo,4656.0,4656.0
105,30107.0,30104.0,Vestre Aker Oslo,St. Hanshaugen Oslo,7633.0,7633.0
106,30107.0,30105.0,Vestre Aker Oslo,Frogner Oslo,14686.0,14686.0
107,30107.0,30106.0,Vestre Aker Oslo,Ullern Oslo,8634.0,8634.0
108,30107.0,30107.0,Vestre Aker Oslo,Vestre Aker Oslo,41169.0,41169.0
109,30107.0,30108.0,Vestre Aker Oslo,Nordre Aker Oslo,8673.0,8673.0
110,30107.0,30109.0,Vestre Aker Oslo,Bjerke Oslo,2941.0,2941.0
111,30107.0,30110.0,Vestre Aker Oslo,Grorud Oslo,1491.0,1491.0
112,30107.0,30111.0,Vestre Aker Oslo,Stovner Oslo,1421.0,1421.0
113,30107.0,30112.0,Vestre Aker Oslo,Alna Oslo,4254.0,4254.0
114,30107.0,30113.0,Vestre Aker Oslo,Østensjø Oslo,3315.0,3315.0
115,30107.0,30114.0,Vestre Aker Oslo,Nordstrand Oslo,3662.0,3662.0
116,30107.0,30115.0,Vestre Aker Oslo,Søndre Nordstrand Oslo,2016.0,2016.0
117,30107.0,30116.0,Vestre Aker Oslo,Sentrum Oslo,4681.0,4681.0
118,30107.0,30117.0,Vestre Aker Oslo,Marka Oslo,1284.0,1284.0
119,30108.0,30101.0,Nordre Aker Oslo,Gamle Oslo,9597.0,7973.2
120,30108.0,30102.0,Nordre Aker Oslo,Grünerløkka Oslo,11759.0,11759.0
121,30108.0,30103.0,Nordre Aker Oslo,Sagene Oslo,13792.0,13792.0
122,30108.0,30104.0,Nordre Aker Oslo,St. Hanshaugen Oslo,11762.0,11762.0
123,30108.0,30105.0,Nordre Aker Oslo,Frogner Oslo,14255.0,14255.0
124,30108.0,30106.0,Nordre Aker Oslo,Ullern Oslo,6102.0,6102.0
125,30108.0,30107.0,Nordre Aker Oslo,Vestre Aker Oslo,8739.0,8739.0
126,30108.0,30108.0,Nordre Aker Oslo,Nordre Aker Oslo,45548.0,45548.0
127,30108.0,30109.0,Nordre Aker Oslo,Bjerke Oslo,5834.0,5834.0
128,30108.0,30110.0,Nordre Aker Oslo,Grorud Oslo,3396.0,3396.0
129,30108.0,30111.0,Nordre Aker Oslo,Stovner Oslo,3027.0,3027.0
130,30108.0,30112.0,Nordre Aker Oslo,Alna Oslo,6748.0,6748.0
131,30108.0,30113.0,Nordre Aker Oslo,Østensjø Oslo,5661.0,5661.0
132,30108.0,30114.0,Nordre Aker Oslo,Nordstrand Oslo,5566.0,5566.0
133,30108.0,30115.0,Nordre Aker Oslo,Søndre Nordstrand Oslo,3025.0,3025.0
134,30108.0,30116.0,Nordre Aker Oslo,Sentrum Oslo,6294.0,6294.0
135,30108.0,30117.0,Nordre Aker Oslo,Marka Oslo,1417.0,1417.0
136,30109.0,30101.0,Bjerke Oslo,Gamle Oslo,6242.0,4001.1
137,30109.0,30102.0,Bjerke Oslo,Grünerløkka Oslo,7476.0,7476.0
138,30109.0,30103.0,Bjerke Oslo,Sagene Oslo,4685.0,4685.0
139,30109.0,30104.0,Bjerke Oslo,St. Hanshaugen Oslo,4267.0,4267.0
140,30109.0,30105.0,Bjerke Oslo,Frogner Oslo,5197.0,5197.0
141,30109.0,30106.0,Bjerke Oslo,Ullern Oslo,2412.0,2412.0
142,30109.0,30107.0,Bjerke Oslo,Vestre Aker Oslo,2829.0,2829.0
143,30109.0,30108.0,Bjerke Oslo,Nordre Aker Oslo,5961.0,5961.0
