,OrigCode,DestCode,Origin,Destination,Trips,OPop,DEmpl,Ourban,Durban,OInc,DInc,Distance
81,30105,30114,Frogner,Nordstrand,8486,42741,11179.0,5.35,11.83,464000,607000,8591.144045348414
82,30105,30115,Frogner,Søndre Nordstrand,4208,42741,6701.0,5.35,6.16,464000,539000,14393.678169309376
83,30105,30116,Frogner,Sentrum,14508,42741,77995.0,5.35,1.4,464000,335000,3268.304795878204
84,30105,30117,Frogner,Marka,711,42741,793.0,5.35,5.699999999999999,464000,625000,14412.998564938223
85,30106,30101,Ullern,Gamle Oslo,5644,19164,43121.0,7.1,4.75,648000,453000,7538.630678145991
86,30106,30102,Ullern,Grünerløkka,5510,19164,29560.0,7.1,3.65,648000,450000,7668.092225214394
87,30106,30103,Ullern,Sagene,3964,19164,19408.0,7.1,2.34,648000,461000,6661.661197871385
88,30106,30104,Ullern,St. Hanshaugen,5706,19164,54104.0,7.1,2.8,648000,430000,5680.342713904701
89,30106,30105,Ullern,Frogner,12633,19164,48082.0,7.1,5.35,648000,464000,2583.118128023521
90,30106,30106,Ullern,Ullern,26358,19164,38334.0,7.1,7.1,648000,648000,0.0
91,30106,30107,Ullern,Vestre Aker,8621,19164,13362.0,7.1,11.55,648000,688000,4157.07874156814
92,30106,30108,Ullern,Nordre Aker,6185,19164,42238.0,7.1,10.5,648000,578000,6930.446079447643
93,30106,30109,Ullern,Bjerke,2397,19164,22537.0,7.1,5.85,648000,490000,11009.843556010987
94,30106,30110,Ullern,Grorud,1431,19164,9297.0,7.1,4.37,648000,453000,15573.815705406227
95,30106,30111,Ullern,Stovner,1367,19164,9490.0,7.1,5.04,648000,489000,17053.158897660724
96,30106,30112,Ullern,Alna,3386,19164,31427.0,7.1,9.23,648000,477000,12934.382581503365
97,30106,30113,Ullern,Østensjø,3048,19164,12470.0,7.1,7.66,648000,539000,12487.261902386304
98,30106,30114,Ullern,Nordstrand,3539,19164,11179.0,7.1,11.83,648000,607000,11249.313662634668
99,30106,30115,Ullern,Søndre Nordstrand,1803,19164,6701.0,7.1,6.16,648000,539000,17051.847786595627
100,30106,30116,Ullern,Sentrum,3998,19164,77995.0,7.1,1.4,648000,335000,5926.4744131644575
101,30106,30117,Ullern,Marka,508,19164,793.0,7.1,5.699999999999999,648000,625000,14987.113271728405
102,30107,30101,Vestre Aker,Gamle Oslo,6307,27837,43121.0,11.55,4.75,688000,453000,9081.136063595923
103,30107,30102,Vestre Aker,Grünerløkka,6253,27837,29560.0,11.55,3.65,688000,450000,8322.715103578734
104,30107,30103,Vestre Aker,Sagene,4656,27837,19408.0,11.55,2.34,688000,461000,6588.167648021268
105,30107,30104,Vestre Aker,St. Hanshaugen,7633,27837,54104.0,11.55,2.8,688000,430000,6379.24655976538
106,30107,30105,Vestre Aker,Frogner,14686,27837,48082.0,11.55,5.35,688000,464000,5254.111517919711
107,30107,30106,Vestre Aker,Ullern,8634,27837,38334.0,11.55,7.1,688000,648000,4138.215947358329
108,30107,30107,Vestre Aker,Vestre Aker,41169,27837,13362.0,11.55,11.55,688000,688000,0.0
109,30107,30108,Vestre Aker,Nordre Aker,8673,27837,42238.0,11.55,10.5,688000,578000,5814.643757323524
110,30107,30109,Vestre Aker,Bjerke,2941,27837,22537.0,11.55,5.85,688000,490000,10803.032090854053
111,30107,30110,Vestre Aker,Grorud,1491,27837,9297.0,11.55,4.37,688000,453000,15367.004240249293
112,30107,30111,Vestre Aker,Stovner,1421,27837,9490.0,11.55,5.04,688000,489000,17013.606925016727
113,30107,30112,Vestre Aker,Alna,4254,27837,31427.0,11.55,9.23,688000,477000,13214.773751610517
114,30107,30113,Vestre Aker,Østensjø,3315,27837,12470.0,11.55,7.66,688000,539000,14029.767287836234
115,30107,30114,Vestre Aker,Nordstrand,3662,27837,11179.0,11.55,11.83,688000,607000,13181.248364298615
116,30107,30115,Vestre Aker,Søndre Nordstrand,2016,27837,6701.0,11.55,6.16,688000,539000,19225.226605282223
117,30107,30116,Vestre Aker,Sentrum,4681,27837,77995.0,11.55,1.4,688000,335000,8555.691368731888
118,30107,30117,Vestre Aker,Marka,1284,27837,793.0,11.55,5.699999999999999,688000,625000,13871.310949604289
119,30108,30101,Nordre Aker,Gamle Oslo,9597,31804,43121.0,10.5,4.75,578000,453000,5533.163597309787
120,30108,30102,Nordre Aker,Grünerløkka,11759,31804,29560.0,10.5,3.65,578000,450000,3692.4113394892024
121,30108,30103,Nordre Aker,Sagene,13792,31804,19408.0,10.5,2.34,578000,461000,1927.5610029732368
122,30108,30104,Nordre Aker,St. Hanshaugen,11762,31804,54104.0,10.5,2.8,578000,430000,3146.8502404182586
123,30108,30105,Nordre Aker,Frogner,14255,31804,48082.0,10.5,5.35,578000,464000,6338.850027181776
124,30108,30106,Nordre Aker,Ullern,6102,31804,38334.0,10.5,7.1,578000,648000,6944.333803328359
125,30108,30107,Nordre Aker,Vestre Aker,8739,31804,13362.0,10.5,11.55,578000,688000,5771.982335361885
126,30108,30108,Nordre Aker,Nordre Aker,45548,31804,42238.0,10.5,10.5,578000,578000,0.0
127,30108,30109,Nordre Aker,Bjerke,5834,31804,22537.0,10.5,5.85,578000,490000,5462.955888110144
128,30108,30110,Nordre Aker,Grorud,3396,31804,9297.0,10.5,4.37,578000,453000,10026.928037505386
129,30108,30111,Nordre Aker,Stovner,3027,31804,9490.0,10.5,5.04,578000,489000,11673.53072227282
130,30108,30112,Nordre Aker,Alna,6748,31804,31427.0,10.5,9.23,578000,477000,7874.697548866604
131,30108,30113,Nordre Aker,Østensjø,5661,31804,12470.0,10.5,7.66,578000,539000,9278.772478286974
132,30108,30114,Nordre Aker,Nordstrand,5566,31804,11179.0,10.5,11.83,578000,607000,10510.950188038312
133,30108,30115,Nordre Aker,Søndre Nordstrand,3025,31804,6701.0,10.5,6.16,578000,539000,16763.571063423275
134,30108,30116,Nordre Aker,Sentrum,6294,31804,77995.0,10.5,1.4,578000,335000,5795.0550089853905
135,30108,30117,Nordre Aker,Marka,1417,31804,793.0,10.5,5.699999999999999,578000,625000,8513.925356751284
136,30109,30101,Bjerke,Gamle Oslo,6242,20501,43121.0,5.85,4.75,490000,453000,4851.499565967582
137,30109,30102,Bjerke,Grünerløkka,7476,20501,29560.0,5.85,3.65,490000,450000,3506.7370089967176
138,30109,30103,Bjerke,Sagene,4685,20501,19408.0,5.85,2.34,490000,461000,4251.802098436639
139,30109,30104,Bjerke,St. Hanshaugen,4267,20501,54104.0,5.85,2.8,490000,430000,6117.3080450574835
