,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
183,30114.0,30111.0,Nordstrand Oslo,Stovner Oslo,1852,1852.0
184,30115.0,30111.0,Søndre Nordstrand Oslo,Stovner Oslo,1335,1335.0
185,30116.0,30111.0,Sentrum Oslo,Stovner Oslo,2213,2213.0
186,30117.0,30111.0,Marka Oslo,Stovner Oslo,138,138.0
187,30101.0,30112.0,Gamle Oslo,Alna Oslo,11523,5997.4
188,30102.0,30112.0,Grünerløkka Oslo,Alna Oslo,8985,8985.0
189,30103.0,30112.0,Sagene Oslo,Alna Oslo,5384,5384.0
190,30104.0,30112.0,St. Hanshaugen Oslo,Alna Oslo,5946,5946.0
191,30105.0,30112.0,Frogner Oslo,Alna Oslo,7528,7528.0
192,30106.0,30112.0,Ullern Oslo,Alna Oslo,3386,3386.0
193,30107.0,30112.0,Vestre Aker Oslo,Alna Oslo,4254,4254.0
194,30108.0,30112.0,Nordre Aker Oslo,Alna Oslo,6748,6748.0
195,30109.0,30112.0,Bjerke Oslo,Alna Oslo,9080,9080.0
196,30110.0,30112.0,Grorud Oslo,Alna Oslo,6495,6495.0
197,30111.0,30112.0,Stovner Oslo,Alna Oslo,7001,7001.0
198,30112.0,30112.0,Alna Oslo,Alna Oslo,41430,41430.0
199,30113.0,30112.0,Østensjø Oslo,Alna Oslo,10194,10194.0
200,30114.0,30112.0,Nordstrand Oslo,Alna Oslo,6215,6215.0
201,30115.0,30112.0,Søndre Nordstrand Oslo,Alna Oslo,4596,4596.0
202,30116.0,30112.0,Sentrum Oslo,Alna Oslo,4364,4364.0
203,30117.0,30112.0,Marka Oslo,Alna Oslo,521,521.0
204,30101.0,30113.0,Gamle Oslo,Østensjø Oslo,9885,9945.6
205,30102.0,30113.0,Grünerløkka Oslo,Østensjø Oslo,6438,6438.0
206,30103.0,30113.0,Sagene Oslo,Østensjø Oslo,3673,3673.0
207,30104.0,30113.0,St. Hanshaugen Oslo,Østensjø Oslo,5519,5519.0
208,30105.0,30113.0,Frogner Oslo,Østensjø Oslo,6848,6848.0
209,30106.0,30113.0,Ullern Oslo,Østensjø Oslo,3048,3048.0
210,30107.0,30113.0,Vestre Aker Oslo,Østensjø Oslo,3315,3315.0
211,30108.0,30113.0,Nordre Aker Oslo,Østensjø Oslo,5661,5661.0
212,30109.0,30113.0,Bjerke Oslo,Østensjø Oslo,4120,4120.0
213,30110.0,30113.0,Grorud Oslo,Østensjø Oslo,2513,2513.0
